3.044	1.756
2.74	1.614
2.548	1.404
1.9	1.371
1.401	1.386
1.362	1.29
1.472	1.309
1.406	1.31
1.15	1.248
1.211	1.247
1.445	1.277
0.906	1.264
0.752	1.246
0.83	1.35
0.877	1.261
1.331	1.306
0.721	1.278
1.121	1.441
1.464	1.303
0.692	1.276
1.153	1.335
0.581	1.234
0.722	1.222
0.562	1.215
0.708	1.211
0.595	1.207
0.615	1.204
0.571	1.207
0.602	1.205
0.603	1.204
0.56	1.2
0.542	1.201
0.487	1.2
0.533	1.204
0.828	1.2
0.661	1.205
0.46	1.203
0.434	1.217
0.657	1.201
0.444	1.204
0.738	1.209
0.443	1.205
0.472	1.205
0.48	1.205
0.421	1.212
0.49	1.204
0.354	1.205
0.964	1.208
0.845	1.208
0.902	1.202
0.869	1.204
0.877	1.198
0.651	1.21
0.746	1.203
0.656	1.203
